group,gc_bin,n,n_errors,n_confident_wrong,frac_confwrong_of_errors,frac_confwrong_of_all,suppressed
100_400,<35,270888,62299,42265,0.6784218045233471,0.15602389179291812,False
100_400,35-45,561294,78064,51600,0.660996105759377,0.0919304321799271,False
100_400,45-55,330034,43685,28209,0.6457365228339247,0.08547301187150415,False
100_400,>55,229458,66231,39894,0.6023463332880373,0.17386188322045865,False
400_800,<35,104570,17585,14678,0.8346886551037817,0.1403653055369609,False
400_800,35-45,247362,23458,18878,0.8047574388268395,0.07631730015119541,False
400_800,45-55,134180,11945,9546,0.7991628296358309,0.07114324042331197,False
400_800,>55,92424,20284,16268,0.8020114375862749,0.1760148879079027,False
800_1200,<35,68332,9002,8105,0.9003554765607643,0.11861207047942399,False
800_1200,35-45,169762,11777,10478,0.8897002632249299,0.06172170450395259,False
800_1200,45-55,89462,6387,5664,0.886801315171442,0.06331179718763273,False
800_1200,>55,61512,12122,11083,0.9142880712753672,0.18017622577708414,False
1200_1800,<35,50740,6056,5666,0.9356010568031704,0.11166732361056365,False
1200_1800,35-45,131066,7601,7007,0.9218523878437048,0.05346161475897639,False
1200_1800,45-55,67038,3691,3392,0.9189921430506638,0.05059816820310868,False
1200_1800,>55,46472,8113,7565,0.932454086034759,0.16278619383714926,False
