group,gc_bin,n,n_errors,error_rate,err_ci_low,err_ci_high,tn,fp,fn,tp,fpr,fnr,precision,recall,f1,accuracy,roc_auc,suppressed
100_400,<35,270888,62299,0.2299806562121615,0.22839978234180003,0.23156918825476142,57628,11364,50935,150961,0.1647147495361781,0.2522833538059199,0.9299922993993531,0.7477166461940801,0.8289527512142353,0.7700193437878385,0.8679579480656034,False
100_400,35-45,561294,78064,0.1390786290250742,0.13817585656497475,0.13998634169510035,62152,18552,59512,421078,0.22987708168120538,0.12383112424311783,0.9578008780110547,0.8761688757568822,0.9151681119732238,0.8609213709749258,0.8882025711453271,False
100_400,45-55,330034,43685,0.1323651502572462,0.13121325181031807,0.13352560683878156,43967,11247,32438,242382,0.20369833737820117,0.11803362200713194,0.9556557018322037,0.881966377992868,0.9173335553667431,0.8676348497427537,0.9079539395401824,False
100_400,>55,229458,66231,0.288641058494365,0.28679056544166937,0.29049862833738904,74382,11782,54449,88845,0.1367392414465438,0.37998101804681284,0.882914128414839,0.6200189819531872,0.7284735631618434,0.7113589415056351,0.8174061348639674,False
1200_1800,<35,50740,6056,0.11935356720536067,0.11656141908489158,0.1222033474464886,12604,1720,4336,32080,0.12007819044959508,0.11906854130052724,0.9491124260355029,0.8809314586994728,0.9137518514298736,0.8806464327946394,0.9288494355722008,False
1200_1800,35-45,131066,7601,0.05799368257213923,0.05674121122397894,0.05927206299363002,14895,2687,4914,108570,0.15282675463542258,0.04330125832716506,0.9758487106429259,0.956698741672835,0.9661788458714698,0.9420063174278608,0.9406160328055879,False
1200_1800,45-55,67038,3691,0.0550583251290313,0.053357042200527796,0.0568105978598563,10343,1097,2594,53004,0.09589160839160839,0.046656354545127524,0.9797231104785494,0.9533436454548725,0.9663533851721529,0.9449416748709687,0.9638561866880557,False
1200_1800,>55,46472,8113,0.17457824066104322,0.1711538546628184,0.17805642210432593,15954,2130,5983,22405,0.11778367617783676,0.210758066788784,0.9131852455675565,0.789241933211216,0.8467018120665873,0.8254217593389568,0.8942826677639836,False
400_800,<35,104570,17585,0.168164865640241,0.16591017243172168,0.1704439383873929,24089,4047,13538,62896,0.14383707705430765,0.17712012978517414,0.9395455835561597,0.8228798702148259,0.87735131855179,0.831835134359759,0.9076213824748247,False
400_800,35-45,247362,23458,0.09483267438005838,0.09368437556691202,0.09599355725564183,28008,6316,17142,195896,0.18401118750728354,0.08046451806719927,0.9687654540778985,0.9195354819328008,0.9435087296809151,0.9051673256199416,0.9219600996248589,False
400_800,45-55,134180,11945,0.08902220897302131,0.08751022357290142,0.09055772558589062,19435,3251,8694,102800,0.14330424050074936,0.07797729025777173,0.9693449378129391,0.9220227097422283,0.9450918200832011,0.9109777910269787,0.9469059650199445,False
400_800,>55,92424,20284,0.2194668051588332,0.21681018742040256,0.22214674177388824,30451,5165,15119,41689,0.14501909254267745,0.2661420926630052,0.88976394758185,0.7338579073369947,0.8043255966506531,0.7805331948411668,0.8617602647485174,False
800_1200,<35,68332,9002,0.13173915588596852,0.12922402335935998,0.1342956915426984,16427,2511,6491,42903,0.13259055866511776,0.1314127221929789,0.9447086801426873,0.868587277807021,0.905050206733609,0.8682608441140315,0.9162234624551453,False
800_1200,35-45,169762,11777,0.06937359361930232,0.06817462861934447,0.07059204703451495,19013,4033,7744,138972,0.1749978304261043,0.052782245971809486,0.9717981888745149,0.9472177540281905,0.9593505475957904,0.9306264063806977,0.9286102221274334,False
800_1200,45-55,89462,6387,0.07139344079050323,0.06972455185666296,0.07309913649708796,13717,1531,4856,69358,0.10040661070304302,0.06543239819980058,0.9784028551679386,0.9345676018001994,0.9559829913923213,0.9286065592094968,0.95499663290098,False
800_1200,>55,61512,12122,0.19706723891273248,0.1939426863718979,0.20022962573168332,21318,2552,9570,28072,0.10691244239631337,0.2542372881355932,0.9166666666666666,0.7457627118644068,0.822429906542056,0.8029327610872675,0.87913634486093,False
ALL,<35,494530,94942,0.19198430833316482,0.1908889751312441,0.19308442676714233,110748,19642,75300,288840,0.15064038653270956,0.206788597792058,0.9363269169676026,0.793211402207942,0.8588479116056269,0.8080156916668352,0.8899791974402744,False
ALL,35-45,1109484,120900,0.10896957504569692,0.10839111734221628,0.10955074053419149,124068,31588,89312,864516,0.20293467646605334,0.0936353304788704,0.9647496272754056,0.9063646695211296,0.9346462464566265,0.8910304249543031,0.9094296484741174,False
ALL,45-55,620714,65708,0.10585873687398706,0.10509580933619182,0.10662654288419181,87462,17126,48582,467544,0.16374727502199105,0.09412817800304576,0.9646646171621929,0.9058718219969543,0.9343442619674739,0.8941412631260129,0.9316161615218067,False
ALL,>55,429866,106750,0.24833320150930754,0.24704390311983979,0.24962699785396872,142105,21629,85121,181011,0.13209840350812904,0.31984503930380415,0.893263916304777,0.6801549606961959,0.7722773544494979,0.7516667984906924,0.8442442074119796,False
