group,gc_bin,true_label,true_class,n,n_errors,error_rate,err_ci_low,err_ci_high,tn,fp,fn,tp,fpr,fnr,precision,recall,f1,accuracy,roc_auc,suppressed
100_400,<35,0,temperate,68992,11364,0.1647147495361781,0.16196564605002695,0.16750118815603038,57628,11364,0,0,0.1647147495361781,,0.0,0.0,0.0,0.8352852504638218,,False
100_400,<35,1,virulent,201896,50935,0.2522833538059199,0.2503935684882993,0.254182565513266,0,0,50935,150961,,0.2522833538059199,1.0,0.7477166461940801,0.8556497391294491,0.7477166461940801,,False
100_400,35-45,0,temperate,80704,18552,0.22987708168120538,0.22698710377775858,0.23279277371721954,62152,18552,0,0,0.22987708168120538,,0.0,0.0,0.0,0.7701229183187946,,False
100_400,35-45,1,virulent,480590,59512,0.12383112424311783,0.1229028728969337,0.12476538913804595,0,0,59512,421078,,0.12383112424311783,1.0,0.8761688757568822,0.9339978794855757,0.8761688757568822,,False
100_400,45-55,0,temperate,55214,11247,0.20369833737820117,0.20035964837471268,0.20707825329695453,43967,11247,0,0,0.20369833737820117,,0.0,0.0,0.0,0.7963016626217988,,False
100_400,45-55,1,virulent,274820,32438,0.11803362200713194,0.11683266471520384,0.11924525747096942,0,0,32438,242382,,0.11803362200713194,1.0,0.881966377992868,0.9372817583845383,0.881966377992868,,False
100_400,>55,0,temperate,86164,11782,0.1367392414465438,0.13446138068570163,0.13904949134982086,74382,11782,0,0,0.1367392414465438,,0.0,0.0,0.0,0.8632607585534562,,False
100_400,>55,1,virulent,143294,54449,0.37998101804681284,0.3774711221692375,0.38249734874534824,0,0,54449,88845,,0.37998101804681284,1.0,0.6200189819531872,0.7654465643429152,0.6200189819531872,,False
400_800,<35,0,temperate,28136,4047,0.14383707705430765,0.1397852488041508,0.14798614716021238,24089,4047,0,0,0.14383707705430765,,0.0,0.0,0.0,0.8561629229456924,,False
400_800,<35,1,virulent,76434,13538,0.17712012978517414,0.17442988236629348,0.1798428304942521,0,0,13538,62896,,0.17712012978517414,1.0,0.8228798702148259,0.9028349960525371,0.8228798702148259,,False
