group,length_bin,n,n_errors,error_rate,err_ci_low,err_ci_high,tn,fp,fn,tp,fpr,fnr,precision,recall,f1,accuracy,roc_auc,suppressed
100_400,100,222534,47382,0.21292027285718138,0.21122437901032914,0.2146260778718857,36850,10118,37264,138302,0.2154232669051269,0.21225066356811684,0.9318285945290392,0.7877493364318832,0.8537529399418493,0.7870797271428186,0.853222557375921,False
100_400,200,948760,168049,0.17712487878915636,0.17635798236016367,0.1778943898023652,163085,35649,132400,617626,0.1793804784284521,0.17652721372325758,0.9454303317898282,0.8234727862767424,0.8802473596184995,0.8228751212108436,0.8891882162944412,False
100_400,300,218680,34629,0.15835467349551857,0.1568305634077202,0.1598907864495945,37871,7133,27496,146180,0.15849702248689004,0.1583177871438771,0.9534742650655847,0.8416822128561229,0.8940973549568946,0.8416453265044814,0.9063556668218518,False
100_400,400,1774,273,0.15388951521984218,0.13784736433660646,0.17142737784733583,323,51,222,1178,0.13636363636363635,0.15857142857142856,0.9585028478437754,0.8414285714285714,0.896158235070369,0.8461104847801578,0.9110523300229183,False
400_800,400,39142,5720,0.146134586888764,0.14266987783582874,0.149668746966987,6566,1578,4142,26856,0.193762278978389,0.13362152396928834,0.9445030597172399,0.8663784760307116,0.9037555525642751,0.853865413111236,0.9005709982429946,False
400_800,500,250478,32697,0.13053841055901116,0.12922473185319974,0.13186342159512968,43691,8739,23958,174090,0.1666793820331871,0.12097067377605429,0.9522012372216662,0.8790293262239457,0.9141533881016706,0.8694615894409888,0.9176432320859177,False
400_800,600,249942,30131,0.12055196805658913,0.11928129665346253,0.12183430305836411,44576,7398,22733,175235,0.14234040096971562,0.11483168997009617,0.9594925342079471,0.8851683100299038,0.9208331034337798,0.8794480319434109,0.9293876622965258,False
400_800,700,38208,4636,0.1213358458961474,0.11809986945850086,0.12464795699254526,7004,1042,3594,26568,0.12950534427044494,0.11915655460513229,0.9622600507062659,0.8808434453948677,0.9197535138129197,0.8786641541038526,0.9317187745458639,False
400_800,800,790,104,0.13164556962025317,0.10984085870848155,0.15701527039240865,146,22,82,540,0.13095238095238096,0.13183279742765272,0.9608540925266904,0.8681672025723473,0.9121621621621622,0.8683544303797468,0.9367822691777675,False
800_1200,800,26248,2906,0.11071319719597683,0.10697406120102468,0.11456626266324862,4766,884,2022,18576,0.15646017699115045,0.09816487037576464,0.954573484069887,0.9018351296242354,0.9274551899745369,0.8892868028040232,0.9261609512737295,False
800_1200,900,168688,17042,0.101026747605046,0.09959769263493065,0.10247397345178916,30453,4705,12337,121193,0.1338244496273963,0.09239122294615443,0.9626284770210806,0.9076087770538456,0.9343093266725258,0.898973252394954,0.9312233046264724,False
800_1200,1000,168328,16862,0.10017347084264056,0.09874832985695894,0.10161686051061386,30644,4428,12434,120822,0.12625456204379562,0.09330911928918773,0.9646467065868264,0.9066908807108123,0.9347713399302144,0.8998265291573594,0.9332793093485896,False
800_1200,1100,25286,2451,0.09693110812307205,0.09334539606869308,0.10063927033614967,4513,595,1856,18322,0.11648394675019577,0.0919813658439885,0.9685468097478459,0.9080186341560115,0.9373065609412968,0.903068891876928,0.9390664084169296,False
800_1200,1200,528,37,0.07007575757575757,0.05126471265547271,0.09509743630767857,99,15,22,392,0.13157894736842105,0.05314009661835749,0.9631449631449631,0.9468599033816425,0.9549330085261876,0.9299242424242424,0.9316149673701161,False
1200_1800,1200,7176,720,0.10033444816053512,0.09359545082687314,0.10750111475910969,1334,232,488,5122,0.14814814814814814,0.08698752228163993,0.9566679118416137,0.91301247771836,0.9343305363006202,0.8996655518394648,0.9356497701832388,False
1200_1800,1300,40374,3443,0.08527765393570119,0.08259262512456655,0.0880415942862777,7430,1030,2413,29501,0.12174940898345153,0.07560945039794448,0.9662637974517704,0.9243905496020556,0.9448634798622788,0.9147223460642988,0.9467887860119342,False
1200_1800,1400,100670,8715,0.08656998112645277,0.08484863992476291,0.08832287321305429,18465,2627,6088,73490,0.12454959226246919,0.07650355625926764,0.9654873418553017,0.9234964437407324,0.9440251774302322,0.9134300188735472,0.9441940382945602,False
1200_1800,1500,100248,8636,0.08614635703455431,0.08442530719454021,0.08789912303467305,18086,2622,6014,73526,0.1266177322773807,0.07560975609756097,0.9655670536324,0.9243902439024391,0.944530085812651,0.9138536429654457,0.9434388883219714,False
1200_1800,1600,40236,3401,0.08452629486032409,0.08184773486264617,0.08728418047517718,7282,982,2419,29553,0.11882865440464666,0.0756599524584011,0.9678401833961028,0.9243400475415989,0.9455900939094821,0.915473705139676,0.9421477793704778,False
1200_1800,1700,6192,526,0.0849483204134367,0.07825867064991579,0.09215263923238406,1142,136,390,4524,0.10641627543035993,0.07936507936507936,0.9708154506437768,0.9206349206349206,0.9450595362439942,0.9150516795865633,0.946942098937404,False
1200_1800,1800,426,24,0.056338028169014086,0.038148002282740984,0.08245799734076087,57,5,19,345,0.08064516129032258,0.0521978021978022,0.9857142857142858,0.9478021978021978,0.9663865546218487,0.9436619718309859,0.9704670329670331,False
