Group A	100-400		
Fold	Sensitivity	Specificity	Accuracy
1	79.82%	71.53%	77.73%
2	79.01%	74.10%	78.08%
3	78.99%	73.23%	77.96%
4	80.80%	73.18%	77.81%
5	81.82%	66.93%	78.79%
Avg	80.09%	71.79%	78.07%
			
Group B	400-800		
Fold	Sensitivity	Specificity	Accuracy
1	89.93%	70.26%	85.45%
2	85.73%	79.25%	84.40%
3	84.49%	79.86%	83.87%
4	87.14%	78.72%	83.80%
5	85.00%	77.80%	83.32%
Avg	86.46%	77.18%	84.17%
			
Group C	800-1200		
Fold	Sensitivity	Specificity	Accuracy
1	87.68%	84.63%	87.09%
2	88.95%	79.12%	86.96%
3	89.22%	85.35%	88.41%
4	90.28%	73.13%	86.84%
5	89.85%	79.32%	87.57%
Avg	88.20%	80.31%	87.37%
			
Group D	1200-1800		
Fold	Sensitivity	Specificity	Accuracy
1	91.54%	80.58%	89.18%
2	92.26%	76.92%	89.26%
3	88.59%	85.72%	88.08%
4	91.43%	83.52%	89.77%
5	92.05%	77.46%	89.19%
Avg	91.17%	80.84%	89.09%
