Group A	100-400		
Fold	Sensitivity	Specificity	Accuracy
1	0.8149	0.8159	0.8151
2	0.8193	0.8422	0.8239
3	0.8198	0.8532	0.8269
4	0.8199	0.7992	0.8157
5	0.8603	0.7113	0.8275
Avg	82.68%	80.44%	82.18%
			
Group B	400-800		
Fold	Sensitivity	Specificity	Accuracy
1	0.8726	0.8583	0.8696
2	0.891	0.8437	0.8814
3	0.8795	0.8871	0.8811
4	0.8537	0.8562	0.8542
5	0.9086	0.7864	0.8817
Avg	88.11%	84.63%	87.36%
			
Group C	800-1200		
Fold	Sensitivity	Specificity	Accuracy
1	0.9052	0.8807	0.9001
2	0.9069	0.8599	0.8974
3	0.9211	0.8776	0.912
4	0.8951	0.8651	0.8891
5	0.932	0.8293	0.9095
Avg	91.21%	86.25%	90.16%
			
Group D	1200-1800		
Fold	Sensitivity	Specificity	Accuracy
1	0.9059	0.9151	0.9078
2	0.9128	0.8849	0.9072
3	0.9265	0.9184	0.9248
4	0.8984	0.8832	0.8954
5	0.9437	0.8275	0.9182
Avg	91.75%	88.58%	91.07%
