Group A	100-400		
Fold	Sensitivity	Specificity	Accuracy
1	83.69%	76.57%	82.19%
2	83.67%	81.97%	83.32%
3	86.01%	79.70%	84.68%
4	84.98%	76.29%	83.23%
5	87.25%	73.71%	84.27%
Avg	85.12%	77.65%	83.54%
			
Group B	400-800		
Fold	Sensitivity	Specificity	Accuracy
1	0.9044	0.7903	0.8804
2	0.8642	0.881	0.8676
3	0.9048	0.8342	0.8899
4	0.864	0.8386	0.8589
5	0.9144	0.7804	0.8849
Avg	89.04%	84.49%	87.63%
			
Group C	800-1200		
Fold	Sensitivity	Specificity	Accuracy
1	0.8953	88.31%	89.27%
2	0.8938	90.10%	89.53%
3	0.9109	90.24%	90.91%
4	0.9092	80.71%	88.88%
5	0.9328	82.14%	90.83%
Avg	90.84%	86.30%	89.88%
			
Group D	1200-1800		
Fold	Sensitivity	Specificity	Accuracy
1	0.9146	0.8927	0.91
2	0.9052	0.9148	0.9071
3	0.921	0.9204	0.9209
4	0.9095	0.8668	0.9009
5	0.9356	0.8421	0.9151
Avg	91.72%	88.74%	91.08%
