Group A	100-400		
Fold	Sensitivity	Specificity	Accuracy
1	77.13%	82.49%	78.25%
2	87.03%	70.30%	83.65%
3	86.95%	70.74%	83.53%
4	85.42%	68.84%	82.09%
5	81.85%	73.86%	80.10%
Avg	83.68%	73.25%	81.52%
			
Group B	400-800		
Fold	Sensitivity	Specificity	Accuracy
1	0.830899128	0.85099782	0.835131365
2	0.86172664	0.810784397	0.851427737
3	0.900380461	0.78800295	0.87671091
4	0.866576417	0.76384061	0.845933699
5	0.902365682	0.749626836	0.868722962
Avg	87.24%	79.27%	85.56%
			
Group C	800-1200		
Fold	Sensitivity	Specificity	Accuracy
1	80.51%	91.30%	82.77%
2	88.07%	87.93%	88.04%
3	91.23%	85.10%	89.94%
4	86.52%	85.54%	86.33%
5	92.09%	78.86%	89.18%
Avg	87.68%	85.75%	87.25%
			
Group D	1200-1800		
Fold	Sensitivity	Specificity	Accuracy
1	88.84%	0.886502561	0.88801371
2	87.73%	0.907379518	0.883331651
3	87.93%	0.910633848	0.885889032
4	86.50%	0.847488737	0.861479949
5	0.92755164	0.797602475	0.899081636
Avg	88.75%	86.99%	88.36%
