Group A	100-400		
Fold	Sensitivity	Specificity	Accuracy
1	0.8217	0.8145	0.8202
2	0.8407	0.8102	0.8345
3	0.8823	0.7733	0.8593
4	0.8397	0.7649	0.8246
5	0.868	0.7387	0.8395
Avg	0.8505	0.7803	0.8356
			
Group B	400-800		
Fold	Sensitivity	Specificity	Accuracy
1	0.8829	0.8528	0.8766
2	0.8733	0.8595	0.8705
3	0.8804	0.8749	0.8793
4	0.8781	0.8235	0.8672
5	0.9008	0.7986	0.8784
Avg	0.8831	0.8419	0.8744
			
Group C	800-1200		
Fold	Sensitivity	Specificity	Accuracy
1	0.9027	0.8773	0.8974
2	0.8907	0.9097	0.8945
3	0.923	0.891	0.9163
4	0.9105	0.8259	0.8935
5	0.9289	0.8316	0.9075
Avg	0.9112	0.8671	0.9018
			
Group D	1200-1800		
Fold	Sensitivity	Specificity	Accuracy
1	0.9033	0.9133	0.9054
2	0.9054	0.9063	0.9056
3	0.9264	0.9091	0.9227
4	0.9036	0.8808	0.899
5	0.9396	0.836	0.9169
Avg	0.9157	0.8891	0.9099
