Group A	100-400		
Fold	Sensitivity	Specificity	Accuracy
1	0.7913	0.8442	0.8024
2	0.8078	0.8513	0.8166
3	0.8335	0.8454	0.836
4	0.8207	0.7841	0.8133
5	0.8501	0.7681	0.832
Avg	0.82068	0.81862	0.82006
			
Group B	400-800		
Fold	Sensitivity	Specificity	Accuracy
1	0.8679	0.8655	0.8674
2	0.8625	0.8867	0.8674
3	0.8859	0.8763	0.8839
4	0.869	0.8273	0.8606
5	0.9201	0.7709	0.8873
Avg	0.88108	0.84534	0.87332
			
Group C	800-1200		
Fold	Sensitivity	Specificity	Accuracy
1	0.8937	0.8976	0.8945
2	0.8907	0.9054	0.8937
3	0.9215	0.8825	0.9133
4	0.9081	0.8177	0.89
5	0.9207	0.8428	0.9036
Avg	0.90694	0.8692	0.89902
			
Group D	1200-1800		
Fold	Sensitivity	Specificity	Accuracy
1	0.9091	0.9107	0.9094
2	0.9132	0.9004	0.9107
3	0.9361	0.8944	0.9274
4	0.9188	0.8459	0.9042
5	0.9416	0.8299	0.9171
Avg	0.92376	0.87626	0.91376
