Group A	100-400		
Fold	Sensitivity	Specificity	Accuracy
1	92.91%	92.33%	92.62%
2	94.02%	92.53%	93.28%
3	94.74%	93.09%	93.92%
4	91.48%	93.48%	92.50%
5	88.43%	93.53%	91.03%
Avg	92.32%	92.99%	92.67%
			
Group B	400-800		
Fold	Sensitivity	Specificity	Accuracy
1	93.98%	92.48%	93.23%
2	94.97%	92.43%	93.72%
3	94.24%	93.79%	94.01%
4	91.21%	93.35%	92.28%
5	88.27%	94.56%	91.44%
Avg	92.53%	93.32%	92.94%
			
Group C	800-1200		
Fold	Sensitivity	Specificity	Accuracy
1	93.60%	93.58%	93.59%
2	94.97%	93.29%	94.14%
3	94.59%	94.14%	94.37%
4	90.99%	94.10%	92.54%
5	88.05%	95.80%	91.93%
Avg	92.44%	94.18%	93.31%
			
Group D	1200-1800		
Fold	Sensitivity	Specificity	Accuracy
1	94.44%	93.91%	94.18%
2	95.78%	94.05%	94.93%
3	95.76%	94.85%	95.31%
4	91.27%	94.39%	92.83%
5	88.59%	96.01%	92.30%
Avg	93.17%	94.64%	93.91%
