Group A	100-400		
Fold	Sensitivity	Specificity	Accuracy
1	0.796473257	0.824986049	0.802473394
2	0.797080318	0.827156787	0.803157053
3	0.813589911	0.830497827	0.817160807
4	0.823064988	0.776026238	0.81361498
5	0.802481664	0.781087447	0.797775651
Avg	80.65%	80.80%	80.68%
			
Group B	400-800		
Fold	Sensitivity	Specificity	Accuracy
1	0.846477298	0.857160825	0.848726958
2	0.851303917	0.848644514	0.85076627
3	0.863569773	0.874989757	0.865975111
4	0.861779692	0.814921577	0.852364485
5	0.860267193	0.811807683	0.849593355
Avg	85.67%	84.15%	85.35%
			
Group C	800-1200		
Fold	Sensitivity	Specificity	Accuracy
1	0.83176623	0.867599301	0.839295087
2	0.844512293	0.855358275	0.846695945
3	0.842	0.884727982	0.850993633
4	0.804706815	0.865093387	0.816828799
5	0.857279378	0.813408345	0.847651628
Avg	83.61%	85.72%	84.03%
			
Group D	1200-1800		
Fold	Sensitivity	Specificity	Accuracy
1	0.83348664	0.855608789	0.838122771
2	0.853969257	0.832580321	0.849668585
3	0.849174438	0.870656371	0.853686558
4	0.859055085	0.815951944	0.850437045
5	0.854387259	0.808971384	0.84443729
Avg	85.00%	83.68%	84.73%
